"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"CANTIDAD","MODELO","DESCRIPCION","CODIGO","PRECIO COSTO","UTILIDAD","SUBTOTAL","PRECIO VENTA","MARCA","PROVEEDOR","COSTO","VENTAS","","","","","","","","","","","","","",""
"","","MANOMETROS","","","","","","","","","","","","","","","","","","","","","","",""
"","CF1P 210D","MANOMETRO GLICER, TOMA TRASERA CARATULA 2.5, RANGO 0-3000PSI, 1/4""NPT","SHMN-T30002.5N","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"2","CF 1P 210A","MANOMETRO GLICER, TOMA LATERAL CARATULA 2.5, RANGO 0-3000PSI, 1/4""NPT","SHMN-L30002.5N","4858.67","1","9717.34","10980.5942","DYNAMIC","DYNAMIC","9717.34","21961.1884","","","","","","","","","","","","","",""
"0","CF 1P 350D","MANOMETRO GLICER, TOMA TRASERA CARATULA 2.5, RANGO 0-5000PSI, 1/4""NPT","SHMN-T50002.5N","5262.54","1","10525.08","11893.3404","DYNAMIC","DYNAMIC","0","0","","","","","","","","","","","","","",""
"1","CF-1-P-700-D ","MANOMETRO GLICER,TOMA TRASERA  CARATULA 2,5, RANGO 0-10,000, 1/4NPT","SHMN-T100002.5N","5390.93","1","10781.86","12183.5018","DYNAMIC","DYNAMIC","5390.93","12183.5018","","","","","","","","","","","","","",""
"0","CF-1-P-700-A  ","MANOMETRO GLICERINA,TOMA LATERAL CARATULA 2,5,RANGO 0-10,000,1/4""NPT","SHMN-L100002.5N","5013.99","1","10027.98","11331.6174","DYNAMIC","DYNAMIC","0","0","","","","","","","","","","","","","",""
"0","LZ-2M-25 ","MANOMETRO SECO,TOMA LATERAL,CARATULA 2,5,RANGO 0-2000,1/4""NPT","SHMN-SL20002.5N","0","1","0","0","DYNAMIC","DYNAMIC","0","0","","","","","","","","","","","","","",""
"3","LZ-5M-25 ","MANOMETRO SECO,TOMA LATERAL,CARATULA 2,5,RANGO 0-5000,1/4""NPT","SHMN-SL50002.5N","5654.07","1","11308.14","12778.1982","DYNAMIC","DYNAMIC","16962.21","38334.5946","","","","","","","","","","","","","",""
"7","CF 1P 350A","MANOMETRO GLICER, TOMA LATERAL CARATULA 2.5, RANGO 0-5000PSI, 1/4""NPT","SHMN-L50002.5N","4858.67","1","9717.34","10980.5942","DYNAMIC","DYNAMIC","34010.69","76864.1594","","","","","","","","","","","","","",""
"1","","MANOMETRO 8600, TOMA LATERA","","0","0","0","0","","","0","0","","","","","","","","","","","","","",""
