"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"CANTIDAD","MODELO","DESCRIPCION","CÓDIGO","PRECIO COSTO","UTILIDAD","SUBTOTAL","PRECIO VENTA","MARCA","PROVEEDOR","COSTO","VENTAS","","","","","","","","","","","","","",""
"","","FILTRO LLENADO","","","","","","","","0","0","","","","","","","","","","","","","",""
"4","DFB40-03-MB ","FILTRO DE LLENADO MALLA METALICA 40 MICRON, 3""LARGO","SHF-LLM3","6276.4","0.9","11925.16","13475.4308","DYNAMIC","DYNAMICS","25105.6","53901.7232","","","","","","","","","","","","","",""
"","","FILTRO DE SUCCION ","","","","","","","","0","0","","","","","","","","","","","","","",""
"0","IFP-053","FILTRO SUCCION 1 1/2"" NPT","SHF-S24N","4000","0.9","7600","8588","INTERNATIONAL","INTERNATIONAL","0","0","","","","","","","","","","","","","",""
"3","A49-10-100 ","FILTRO SUCCION 1""NPT,10GPM ,100MESH","","6386.61","0.8","11495.898","12990.36474","LENDZ","LENDZ","19159.83","38971.09422","","","","","","","","","","","","","",""
"2","A49-30-100 ","FILTRO SUCCION 1 1/2 NPT, 30GPM,100MESH","","9935.52","0.8","17883.936","20208.84768","LENDZ","LENDZ","19871.04","40417.69536000001","","","","","","","","","","","","","",""
"3","A49-50-2-100","FILTRO  SUCCION 2""NPT,50GPM,100MESH","","13541.32","0.8","24374.376","27543.04488","LENDZ","LENDZ","40623.96","82629.13464","","","","","","","","","","","","","",""
"3","A49-75-100 ","FILTRO SUCCION,2 1/2""NPT,75GPM,100MESH","","20255.09","0.8","36459.162","41198.85305999999","LENDZ","LENDZ","60765.27","123596.55918","","","","","","","","","","","","","",""
"0","IFP-016","FILTRO SUCCION 1 1/4"" NPT","SHF-S20N","4021.16","0.7","6835.972","7724.64836","INTERNATIONAL","INTERNATIONAL","0","0","","","","","","","","","","","","","",""
"0","IFP-013","FILTRO SUCCION 1"" NPT","SHF-S16N","2300","0.9","4370","4938.1","INTERNATIONAL","INTERNATIONAL","0","0","","","","","","","","","","","","","",""
"","","FILTRO RETORNO","","","","","","","","0","0","","","","","","","","","","","","","",""
"0","CP-1010-10R","FILTRO RETORNO 1""NPT, SUCCION 5GPM, RETORNO 25GPM, PRESION TRABAJO 200PSI, BYPASS 25PSI, 10 MICRON","SHF-R101016N","17548.61","0.7","29832.637","33710.87981000001","LENDZ","LENDZ","0","0","","","","","","","","","","","","","",""
"0","SS-120-0-0","FILTRO RETORNO 1 1/4""NPT, RETORNO 70GPM, PRESION TRABAJO 200PSI MAX, BYPASS 25PSI, 10 MICRON","SHF-R1012120N","21828.24","1","43656.48","49331.8224","LENDZ","LENDZ","0","0","","","","","","","","","","","","","",""
"3","LIT-1000-10-P-T ","FILTRO RETORNO FLANGEADO,1""NPT,25GPM,100PSI,10MICRON,BYPASS 25PSI, PUERTO 1/8""NPT P/MANOMETR SATURACION","SHF-RF1000N","31905.47","0.6","51048.752","57685.08976","LENDZ","LENDZ","95716.41","173055.26928","","","","","","","","","","","","","",""
"2","CP-1280-10-R-T","FILTRO RETORNO 1 1/4"" NPT, 60GPM RETORNO, 12GPM SUCCION, PRESION TRABAJO 150PSI, BYPASS 25PSI, 10 MICRON ","SHF-R1280N","24998.82","0.8","44997.876","50847.59988","LENDZ","LENDZ","49997.64","101695.19976","","","","","","","","","","","","","",""
"0","9-7293.","SAE 12 30 GPM High Pressure, Filter10 micron filter, 30 GPM SAE 12 ports, 3000 PSI max, By-pass valve setting 50 PSIOperating temp. range-40� F to 250� F","SH","124401.99","0.75","217703.4825","246004.935225","ZINGA","SURPLUS","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
"","","","","0","0.5","0","0","","","0","0","","","","","","","","","","","","","",""
